,Trinary_Score,Vader_Score,text,elite,retweet_count,media,gender,dw_extr,dwextr_rs,dw_score,race,age,followers
41,1,0.4019,Today is the 1 yr anniversary of the #STEMEducationAct. We must continue to support #STEM students and close the skills gap in our economy.',Adams,3,-0.5,-0.5,0.462,0.462,-0.462,-0.5,71,8386.0
42,-1,-0.6597,Find a Breast Cancer screening provider near you: https://t.co/AsvvGZugg3\n#BreastCancerAwarenessMonth https://t.co/14VmAbmCVA',Adams,0,0.5,-0.5,0.462,0.462,-0.462,-0.5,71,8386.0
43,0,0.0,October is #BreastCancerAwarenessMonth. Find events in your neighborhood: https://t.co/E1zZSkDp8J',Adams,0,-0.5,-0.5,0.462,0.462,-0.462,-0.5,71,8386.0
44,1,0.3818,My office is now accepting applications for nominations to the Service Academies. Apply here: https://t.co/ibtHGaz4Km',Adams,0,-0.5,-0.5,0.462,0.462,-0.462,-0.5,71,8386.0
45,1,0.3262,Please stay safe this week NC. For more information about emergency preparedness visit https://t.co/YSbFAMsDFc. https://t.co/t7fKRNTlih',Adams,2,-0.5,-0.5,0.462,0.462,-0.462,-0.5,71,8386.0
46,1,0.0772,NC declares a State of Emergency for 66 counties ahead of #HurricaneMatthew landfall this week. Stay safe NC. https://t.co/T7bJb2pMeq',Adams,2,-0.5,-0.5,0.462,0.462,-0.462,-0.5,71,8386.0
47,0,0.0,"Passes to @NMAAHC for January, February, and March are now available. To register, visit: https://t.co/RIGkr4pTCA.'",Adams,0,-0.5,-0.5,0.462,0.462,-0.462,-0.5,71,8386.0
48,1,0.4738,30 days left to participate in the #CongressionalAppChallenge! Pls share the contest info with students in NC12! https://t.co/AoYOiPhjON',Adams,1,-0.5,-0.5,0.462,0.462,-0.462,-0.5,71,8386.0
49,1,0.4389,My office is now accepting nominations to service academies! Apply here: https://t.co/ibtHGaz4Km',Adams,0,-0.5,-0.5,0.462,0.462,-0.462,-0.5,71,8386.0
50,0,0.0,#OTD 1922 Rebecca Felton was sworn in as the 1st female Senator in the U.S. Senate. https://t.co/0spr8Vrcav',Adams,0,-0.5,-0.5,0.462,0.462,-0.462,-0.5,71,8386.0
51,1,0.9632,"Happy #RoshHashanah to all who celebrate! May the new year be filled with joy, peace, and happiness. L\xe2\x80\x99Shanah Tovah!'",Adams,0,-0.5,-0.5,0.462,0.462,-0.462,-0.5,71,8386.0
52,1,0.7906,#OTD 1967 Thurgood Marshall became the first African American Supreme Court Justice. https://t.co/lJwDxnmOzG',Adams,5,-0.5,-0.5,0.462,0.462,-0.462,-0.5,71,8386.0
53,0,0.0,#DVAM2016 starts today. @NationalDVAM has a list of events nationwide. Find an event near you: https://t.co/bbLOIfFcsV #ThisIsDV',Adams,0,-0.5,-0.5,0.462,0.462,-0.462,-0.5,71,8386.0
